race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
PA-5,0.7,1.0,1.0,0.0,4.0,32.16333333333333,-1.432307692307692,30.731025641025635,30.163141763910833,2.000191569422494,0.5678838771148023,-1.4323076923076918
PA-6,0.7,1.0,1.0,0.0,4.0,14.563333333333333,-0.7888461538461538,13.77448717948718,16.62843088307814,2.065097549744806,2.853943703590959,0.7888461538461531
PA-7,0.7,1.0,1.0,0.0,4.0,0.46333333333333293,-1.041923076923077,-0.578589743589744,1.9660414091366865,1.5027080758033535,2.5446311527264305,1.041923076923077
PA-8,0.7,1.0,1.0,0.0,4.0,-3.036666666666667,4.0,0.9633333333333329,2.4490564196231257,5.485723086289793,1.4857230862897928,-4.0
PA-9,0.7,1.0,1.0,0.0,4.0,-40.63666666666667,0.9799999999999998,-39.65666666666667,-38.62170194859629,2.014964718070381,1.034964718070384,-0.9799999999999969
PA-10,0.7,1.0,1.0,0.0,4.0,-8.236666666666666,-0.5991176470588235,-8.83578431372549,-7.666923120942565,0.5697435457241014,1.1688611927829253,0.599117647058824
PA-11,0.7,1.0,1.0,0.0,4.0,-25.436666666666667,0.034999999999999996,-25.401666666666667,-23.09027668183798,2.3463899848286864,2.3113899848286863,-0.03500000000000014
PA-12,0.7,1.0,1.0,0.0,4.0,17.763333333333332,0.0,17.763333333333332,12.393646156655103,5.369687176678228,5.369687176678228,0.0
PA-15,0.7,1.0,1.0,0.0,4.0,-41.13666666666667,-0.1688235294117647,-41.30549019607844,-39.878615482424806,1.2580511842418645,1.426874713653632,0.16882352941176748
PA-16,0.7,1.0,1.0,0.0,4.0,-24.736666666666668,1.6375000000000004,-23.09916666666667,-18.724317655745217,6.012349010921451,4.3748490109214515,-1.6374999999999993
PA-17,0.7,1.0,1.0,0.0,4.0,3.6633333333333327,0.0,3.6633333333333327,6.784363038706332,3.1210297053729996,3.1210297053729996,0.0
RI-1,0.7,1.0,1.0,0.0,4.0,28.963333333333335,-2.352777777777778,26.610555555555557,28.2408411703906,0.7224921629427357,1.6302856148350422,0.9077934518923065
RI-2,0.7,1.0,1.0,0.0,4.0,11.563333333333333,0.0,11.563333333333333,3.7112920149784423,7.852041318354891,7.852041318354891,0.0
SC-1,0.7,1.0,1.0,0.0,4.0,-12.736666666666666,2.2049999999999996,-10.531666666666666,-13.921395330074336,1.18472866340767,3.38972866340767,2.205
SC-2,0.7,1.0,1.0,0.0,4.0,-14.736666666666666,1.1591176470588236,-13.577549019607844,-20.15959305396423,5.422926387297563,6.582044034356386,1.1591176470588227
SC-5,0.7,1.0,1.0,0.0,4.0,-22.336666666666666,-0.1938461538461538,-22.53051282051282,-29.550654304591923,7.213987637925257,7.0201414840791045,-0.19384615384615245
SC-6,0.7,1.0,1.0,0.0,4.0,31.963333333333335,-0.14823529411764702,31.815098039215687,24.188259377902455,7.77507395543088,7.626838661313233,-0.14823529411764724
SC-7,0.7,1.0,1.0,0.0,4.0,-20.836666666666666,0.0,-20.836666666666666,-29.704764343253306,8.86809767658664,8.86809767658664,0.0
TN-1,0.7,1.0,1.0,0.0,4.0,-58.33666666666667,1.54,-56.796666666666674,-58.61183066227667,0.2751639956099936,1.8151639956099928,1.5399999999999991
